Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total"""""
Independent,2,1577,St Peter's Lutheran School,Primary,O,0,2,2,3,2,5,2,2,4,5,2,7,1,3,4,1,3,4,0,2,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Independent,2,1609,Leibler Yavneh College,Pri/Sec,O,20,21,41,33,25,58,29,21,50,16,35,51,24,19,43,27,22,49,21,15,36,0,0,0,328,27,18,45,24,18,42,25,15,40,29,16,45,21,17,38,22,20,42,0,0,0,252,580
Independent,2,1610,The Peninsula School,Pri/Sec,O,29,17,46,29,19,48,32,19,51,30,21,51,25,27,52,51,34,85,57,38,95,0,0,0,428,81,55,136,82,59,141,94,51,145,92,56,148,93,71,164,79,71,150,0,0,0,884,1312
Independent,2,1617,St John's Lutheran School Geelong,Primary,O,17,25,42,16,14,30,27,19,46,16,15,31,24,18,42,8,14,22,17,12,29,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
Independent,2,1626,Bialik College,Pri/Sec,O,35,17,52,39,29,68,35,26,61,27,39,66,37,25,62,40,28,68,35,36,71,0,0,0,448,40,41,81,32,28,60,41,28,69,38,30,68,49,18,67,30,33,63,0,0,0,408,856
Independent,2,1633,Luther College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,111,203,98,101,199,96,106,202,102,99,201,99,95,194,102,86,188,0,0,0,1187,1187
Independent,2,1658,Yarra Valley Grammar,Pri/Sec,O,16,5,21,25,12,37,22,6,28,25,9,34,20,13,33,22,12,34,30,24,54,0,0,0,241,92,47,139,84,52,136,107,54,161,91,62,153,80,63,143,68,59,127,0,0,0,859,1100
Independent,2,1672,Edinburgh College (Primary),Primary,O,5,18,23,5,11,16,9,5,14,7,6,13,8,7,15,15,5,20,13,7,20,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
Independent,2,1679,Maranatha Christian School,Pri/Sec,O,29,48,77,20,26,46,26,28,54,33,27,60,30,25,55,34,29,63,27,37,64,0,0,0,419,52,32,84,42,44,86,39,40,79,49,54,103,46,36,82,56,41.7,97.7,0,0,0,531.7,950.7
Independent,2,1701,Mount Evelyn Christian School/Ranges TEC,Pri/Sec,O,22,20,42,18,19,37,23,17,40,19,16,35,14,21,35,22,16,38,21,17,38,0,0,0,265,26,34,60,28,30,58,21,35,56,42,23,65,39,36,75,24,24,48,0,0,0,362,627
